State,City,Name,Type,Google review rating,Significance,Number of google review in lakhs,Best Time to visit,latitude,longitude
Andaman and Nicobar Islands,Neil Island,Bharatpur Beach,Beach,4.5,Nature,0.04,Morning,11.83619,93.033704
Andaman and Nicobar Islands,Havelock Island,Radhanagar Beach,Beach,4.8,Nature,0.09,Morning,11.9651954,92.99562115
Andaman and Nicobar Islands,Baratang Island,Limestone Caves,Natural Feature,4.4,Nature,0.015,Morning,12.1883182,92.81103514
Andaman and Nicobar Islands,Port Blair,Cellular Jail,Landmark,4.7,Historical,0.12,Afternoon,11.67444565,92.74778558
Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,4.7,Religious,0.59,All,18.1139259,83.3979562
Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,4.1,Wildlife,0.25,Afternoon,17.7672009,83.34851083
Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,4.5,Recreational,0.019,All,17.74938405,83.3416132
Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,4.3,Cultural,0.065,All,17.72082665,83.33382069
Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,4.6,Historical,0.49,All,17.7170864,83.32981191
Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,3.8,Recreational,0.03,All,17.7128522,83.31990583
Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,4.5,Recreational,0.39,Morning,17.7231276,83.3012842
Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,4.5,Natural Wonder,0.31,Afternoon,17.7231276,83.3012842
Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,4.6,Historical,0.059,All,17.7231276,83.3012842
Andhra Pradesh,Rajahmundry,Papikondalu,Hill,4.3,Nature,0.032,All,17.0050454,81.7804732
Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,4.7,Religious,0.44,All,16.5153429,80.6058743
Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,4.4,Wildlife,0.7,All,16.30690105,80.51362085
Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,4.7,Religious,0.49,All,16.07418725,78.86814619
Andhra Pradesh,Kadapa,Gandikota Fort,Fort,4.5,Historical,0.015,Morning,14.8133184,78.2874575
Andhra Pradesh,Kurnool,Belum Caves,Cave,4.4,Natural Wonder,0.11,Afternoon,15.8309251,78.0425373
Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,4.7,Religious,0.12,All,14.16586875,77.8077625
Andhra Pradesh,Amravati,Amaravathi Temple,Temple,4.7,Religious,0.041,All,21.15454115,77.64429618
Andhra Pradesh,Anantapur,Lepakshi,Site,4.6,Historical,0.075,All,14.6321073,77.6250314
Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,4.7,Religious,0.032,Morning,27.5866091,91.8573902
Assam,Sivasagar,Sivasagar Sivadol,Temple,4.7,Historical,0.065,All,26.9834936,94.6394226
Assam,Majuli,Majuli Island,River Island,4.7,Cultural,0.01,Morning,27.0129015,94.27468538
Assam,Kaziranga,Kaziranga National Park,National Park,4.5,Wildlife,0.068,Morning,26.586749,93.4019721
Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,4.4,Wildlife,0.037,All,26.1805978,91.753943
Assam,Guwahati,Umananda Island,Island,4.1,Nature,0.01,Morning,26.19648555,91.74499488
Assam,Guwahati,Kamakhya Temple,Temple,4.6,Religious,0.21,All,26.165107,91.7059298
Assam,Hajo,Hayagriva Madhava Temple,Temple,4.5,Religious,0.9,All,26.2429185,91.526535
Assam,Manas,Manas National Park,National Park,4.6,Wildlife,0.19,Morning,26.8102,91.2395
Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,4.3,Wildlife,0.5,All,25.6093239,85.1235252
Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,4.7,Religious,0.25,All,25.6093239,85.1235252
Bihar,Patna,Budhha Smriti Park,Park,4.4,Cultural,0.31,All,25.6093239,85.1235252
Bihar,Bodh Gaya,Mahabodhi Temple,Temple,4.7,Religious,0.2,All,24.69593025,84.99139028
Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,4.6,Nature,0.19,Morning,19.11912825,81.82918649
Daman and Diu,Diu,Diu Fort,Fort,4.6,Historical,1.2,Afternoon,20.7176346,70.9907716
Daman and Diu,Diu,Naida Caves,Cave,4.5,Nature,0.6,Afternoon,20.7109607,70.980783
Delhi,Delhi,Akshardham Temple,Temple,4.6,Religious,0.4,Afternoon,28.61251665,77.2773184
Delhi,Delhi,Lotus Temple,Temple,4.5,Religious,0.59,Evening,28.55335855,77.25860057
Delhi,Delhi,Humayun's Tomb,Tomb,4.5,Historical,0.4,Afternoon,28.5932856,77.2506468
Delhi,Delhi,National Zoological Park ,Zoo,4.1,Environmental,0.41,All,28.6026948,77.24717603
Delhi,Delhi,Sunder Nursery,Park,4.6,Botanical,0.16,Afternoon,28.59690975,77.24701878
Delhi,Delhi,Red Fort,Fort,4.5,Historical,1.5,Afternoon,28.65608095,77.24079592
Delhi,Delhi,National Gallery of Modern Art,Museum,4.5,Artistic,0.08,All,28.60963335,77.23417638
Delhi,New Delhi,Jama Masjid,Mosque,4.5,Historical,0.49,All,28.6503372,77.23351733
Delhi,Delhi,Chandni Chowk,Market,4.2,Market,0.25,Afternoon,28.6559834,77.2321937
Delhi,Delhi,India Gate,War Memorial,4.6,Historical,2.6,Evening,28.6129332,77.22949282
Delhi,Delhi,Agrasen ki Baoli,Stepwell,4.2,Historical,0.41,Afternoon,28.62606755,77.2250111
Delhi,Delhi,Lodhi Garden,Park,4.5,Botanical,0.48,All,28.59626845,77.22155326
Delhi,Delhi,Jantar Mantar,Observatory,4.2,Scientific,0.31,Morning,28.6271791,77.21661661
Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,4.8,Religious,1.05,All,28.6285156,77.2095706
Delhi,Delhi,Garden of Five Senses,Park,4.1,Botanical,0.23,Morning,28.5137724,77.19834449
Delhi,Delhi,Qutub Minar,Monument,4.5,Historical,1.37,Afternoon,28.524413,77.18545014
Delhi,New Delhi,Rail Museum,Museum,4.4,Cultural,0.24,Morning,28.5840622,77.1831784
Delhi,Delhi,Waste to Wonder Park,Theme Park,4.1,Environmental,0.27,Evening,28.6273928,77.1716954
Delhi,Delhi,National Science Centre,Science,4.4,Scientific,0.23,All,28.6256148,77.1621057
Goa,Goa,Dudhsagar Falls,Waterfall,4.6,Nature,0.3,Afternoon,15.3135273,74.3142439
Goa,Goa,Miramar Beach,Beach,4.2,Scenic,0.3,Evening,15.3004543,74.0855134
Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,3.9,Wildlife,0.03,Afternoon,15.3004543,74.0855134
Goa,Goa,Palolem Beach,Beach,4.6,Scenic,0.27,Evening,15.0093077,74.024229
Goa,Goa,Se Cathedral,Church,4.5,Historical,0.05,Afternoon,15.50378315,73.91227414
Goa,Goa,Basilica of Bom Jesus,Church,4.5,Historical,0.59,Afternoon,15.50067815,73.91105247
Goa,Goa,Colva Beach,Beach,4.3,Scenic,0.1,Evening,15.2850095,73.91086809
Goa,Goa,Fort Aguada,Fort,4.2,Historical,0.95,Morning,15.49232845,73.77320439
Goa,Goa,Aguada Beach,Beach,4.5,Scenic,0.01,Evening,15.4988795,73.76725052
Goa,Goa,Calangute Beach,Beach,4.4,Scenic,0.26,Evening,15.54248845,73.75556173
Goa,Goa,Baga Beach,Beach,4.5,Scenic,0.35,Evening,15.5573721,73.75098001
Goa,Goa,Anjuna Beach,Beach,4.4,Scenic,0.18,Evening,15.5758504,73.74025446
Goa,Goa,Chapora Fort,Fort,4.2,Historical,0.19,Evening,15.6059531,73.73528454
Goa,Goa,Arambol Beach,Beach,4.6,Scenic,0.1,Evening,15.6786308,73.70514965
Gujarat,Vadodara,Laxmi Vilas Palace,Palace,4.4,Historical,0.17,Afternoon,22.29185435,73.18833353
Gujarat,Kevadia,Statue of Unity,Monument,4.6,Historical,0.67,All,21.2947722,73.1472445
Gujarat,Gandhinagar,Akshardham,Temple,4.6,Religious,0.18,All,23.2307543,72.67383244
Gujarat,Gandhinagar,Dandi Kutir,Museum,4.5,Historical,0.05,All,23.2328055,72.63119595
Gujarat,Ahmedabad,Kankaria Lake,Lake,4.5,Recreational,0.3,Afternoon,23.00614335,72.59952118
Gujarat,Ahmedabad,Manek Chowk,Market,4.4,Food,0.49,Night,23.0231798,72.5889516
Gujarat,Ahmedabad,Sabarmati Ashram,Historical,4.6,Historical,0.35,Morning,23.06016515,72.58063822
Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,4.6,Recreational,0.1,Evening,23.0192844,72.57363642
Gujarat,Ahmedabad,Science City,Science,4.4,Educational,0.11,All,23.077854,72.49479799
Gujarat,Junagadh,Gir National Park,National Park,4.5,Wildlife,0.08,Morning,21.12677885,70.77479518
Gujarat,Rann of Kutch,Rann Utsav,Cultural,4.9,Cultural,0.1,Evening,23.79055185,70.49661369
Gujarat,Somnath,Somnath Temple,Temple,4.8,Religious,0.39,Morning,20.88775775,70.40138361
Gujarat,Bhuj,White Desert,Site,4.6,Nature,0.12,Evening,23.8304196,69.5200898
Gujarat,Dwarka,Dwarkadhish Temple,Temple,4.7,Religious,0.59,Evening,22.2376426,68.96762117
Haryana,Gurugram,Ambience Mall,Mall,4.6,Shopping,1.2,Afternoon,28.5042583,77.0972049
Haryana,Gurugram,Kingdom of Dreams,Entertainment,4.4,Entertainment,0.3,Afternoon,28.46812985,77.06912641
Haryana,Gurugram,DLF CyberHub,Commercial Complex,4.7,Entertainment,0.71,Afternoon,28.4646148,77.0299194
